team;short;league;tackles;challenges;interceptions;fouls;clearances;blocked_shots;passes;chances_openplay;crosses;long_balls;through_balls;shots_outbox;shots_inbox;dribbles;aerials;fouled
Real Salt Lake;RSL;MLS;19.73529412;25.32352941;19.11764706;12.82352941;26.85294118;3.176470588;398.8235294;7.205882353;17.55882353;59.11764706;0.294117647;4.941176471;6.029411765;12.35294118;31.47058824;13.14705882
Real Sociedad;SOC;La Liga;19.625;26.25;19.4375;12.6875;22.125;2.375;448.3125;8.9375;26.8125;64.8125;0.4375;4.5;7.75;16.8125;35.9375;15.625
Reims;REI;Ligue 1;17.05263158;26.42105263;19.05263158;12.84210526;18.68421053;2.315789474;420.5263158;7.578947368;18.63157895;67.31578947;0.315789474;4.105263158;6.578947368;14.15789474;36.78947368;12.78947368
Rennes;REN;Ligue 1;21.15789474;29.73684211;17.26315789;13.78947368;17.78947368;2.578947368;438.7368421;8.210526316;18.68421053;66.73684211;0.263157895;4.421052632;6.473684211;17.42105263;29.94736842;10.42105263
Rizespor;RIZ;Super Lig;20.25;28.875;17.0625;15.3125;19.6875;3.8125;337.375;6.5625;19.8125;70.8125;1.0625;3.9375;6.5;9.8125;24.6875;14.6875
Roda;ROD;Eredivisie;18.70588235;27.05882353;17.41176471;12;27.05882353;2.941176471;341.7647059;7.470588235;17.29411765;73.70588235;0.176470588;4.941176471;5.411764706;10.29411765;32.76470588;11.35294118
Roma;ROM;Serie A;14.58823529;22.47058824;16.64705882;15.29411765;20;2.235294118;493.1764706;9.941176471;21.88235294;69.70588235;0.529411765;5.764705882;8.764705882;18.11764706;29.76470588;12.52941176
Rotherham;ROT;Championship;18.31818182;26.95454545;16.04545455;11.81818182;19.63636364;3.136363636;367.7727273;8.181818182;18.81818182;89.86363636;0.136363636;5.545454545;6.454545455;9.954545455;55.86363636;11.22727273
Rubin Kazan;RUB;Russian PL;17.11111111;23.33333333;19.5;12.88888889;25.27777778;3;403.0555556;10.61111111;23.77777778;67.22222222;0.111111111;6.944444444;8;14.72222222;35.22222222;15.88888889
Saint-Etienne;SET;Ligue 1;20.26315789;28.84210526;15.26315789;15.42105263;20.89473684;2.368421053;436.4210526;8.473684211;21.31578947;66.05263158;0.421052632;5.736842105;6.368421053;13.84210526;37.15789474;11.21052632
Sampdoria;SAM;Serie A;18.82352941;27.82352941;14.70588235;14.52941176;23.35294118;3.647058824;448.1764706;8.117647059;14.35294118;71.70588235;0.529411765;5.588235294;5.235294118;14.76470588;18.76470588;14.23529412
San Jose Earthquakes;SAJ;MLS;19.20588235;24.85294118;17.38235294;14.02941176;24.23529412;2.5;359.5588235;7.411764706;20.88235294;70.67647059;0.147058824;4.558823529;7.352941176;16;33.88235294;13
Santos FC;SFC;Brasileirao;18.31578947;25.65789474;12.71052632;13.44736842;18.71052632;2.763157895;422.8947368;9.342105263;17.23684211;52.68421053;0.552631579;5.447368421;7.184210526;16.65789474;22.55263158;12.5
Sao Paulo;SAP;Brasileirao;17.5;23.89473684;14.84210526;14.07894737;15.5;2.684210526;482.3684211;9.552631579;21.02631579;49.78947368;0.473684211;5.236842105;7.315789474;17.13157895;23.36842105;13.07894737
Sassuolo;SAS;Serie A;17.9375;28.875;22.25;15.5625;28;3.4375;416.3125;8.1875;16.0625;69.0625;0.5;5.6875;5.625;15.8125;30;18.0625
SC Bastia;SCB;Ligue 1;19.36842105;28.94736842;18;12.94736842;23.31578947;2.315789474;361.5789474;5.684210526;17.31578947;76.26315789;0.421052632;3.947368421;4.210526316;12.36842105;42;12.21052632
Schalke 04;SCH;Bundesliga;15.41176471;24.52941176;18.64705882;14.64705882;22.05882353;3.705882353;442.3529412;8.882352941;17.05882353;69.58823529;0.352941176;5.235294118;9.647058824;21.58823529;43.17647059;13.29411765
Seattle Sounders FC;SEA;MLS;17.91176471;23.85294118;16.58823529;11.47058824;18.91176471;3.029411765;468.8823529;6.5;17.44117647;68.79411765;0.647058824;3.705882353;5.911764706;11.14705882;30.11764706;11.94117647
Sevilla;SEV;La Liga;16.875;25.4375;18.125;14.0625;18;3.5625;406.125;8.9375;24.5625;60.6875;0.6875;4.0625;9.6875;16.8125;31.25;13.8125
Sheffield Wednesday;SWE;Championship;17.36363636;23.77272727;16.36363636;13.09090909;18.90909091;3;393.9545455;8.909090909;18.90909091;80.18181818;0.363636364;4.863636364;6.772727273;11.27272727;38.40909091;11.77272727
Sivasspor;SIV;Super Lig;17.1875;23.875;18.1875;16.3125;21.6875;2.8125;396;9.1875;21.1875;70.3125;0.25;5.9375;7.8125;12.1875;26.4375;16.1875
Southampton;SOU;Premier League;18.35294118;26.47058824;17.64705882;10.47058824;25.29411765;3.764705882;446.8235294;10.58823529;26.17647059;66.94117647;0.117647059;4.588235294;10.11764706;12.41176471;37.23529412;9.705882353
Spartak Moscow;SPA;Russian PL;16.05555556;22.33333333;18.61111111;14.83333333;24.72222222;2.166666667;460.3888889;11.44444444;21.66666667;60.16666667;0.944444444;6.555555556;9;15.38888889;26.5;14.16666667
Sport;SPO;Brasileirao;17.60526316;24.76315789;12.07894737;11.36842105;17.68421053;2.605263158;438.2105263;7.789473684;17.65789474;49.26315789;0.421052632;4.842105263;6.421052632;13.42105263;24.5;12.5
Sporting Gijon;GIJ;La Liga;20.93333333;29.93333333;18.53333333;13.73333333;27.4;2.533333333;354.4;6.866666667;17.4;70.2;0.266666667;3.8;6.6;17;37.73333333;10.8
Sporting Kansas City;KAN;MLS;21.23529412;28.35294118;26.05882353;13.35294118;24.14705882;1.735294118;377.1764706;7.705882353;16.76470588;70.23529412;0.470588235;4.823529412;7.088235294;14.20588235;37.85294118;11.91176471
Stoke;STK;Premier League;19.17647059;29.58823529;15.11764706;9.941176471;21.52941176;4.294117647;415.7647059;8.588235294;16.70588235;63;0.470588235;4.647058824;6.235294118;17.58823529;29.58823529;10.11764706
Sunderland;SUN;Premier League;21.41176471;32.35294118;15.35294118;11.47058824;29.88235294;4.176470588;342.1764706;7.764705882;15.11764706;66.94117647;0.764705882;4.882352941;6.058823529;14.94117647;36.05882353;9.882352941
Swansea;SWA;Premier League;15.64705882;24.88235294;16.11764706;9.470588235;23.76470588;3;502.8235294;9.117647059;19.82352941;61.82352941;0.588235294;5.941176471;6.411764706;15.11764706;28.88235294;12.52941176
Terek Grozny;TER;Russian PL;18.16666667;23.11111111;17.33333333;14.83333333;22.44444444;3.222222222;469.5555556;9.444444444;14.16666667;64.77777778;0.555555556;5.111111111;6.777777778;14.88888889;28.38888889;15.33333333
Torino;TOR;Serie A;17.1875;23.6875;16.6875;16.125;18.75;1.75;407;8.9375;22.0625;67.5;0.25;5.1875;7.125;16;25.5;12.625
Toronto FC;TOR;MLS;16.76470588;21.73529412;20.23529412;12.64705882;21.5;2.147058824;389.5588235;9.147058824;18.55882353;60.73529412;0.588235294;6.941176471;6.823529412;16.08823529;25.5;12.55882353
Tottenham;TOT;Premier League;22.23529412;29.94117647;17.82352941;13.52941176;28.76470588;3.647058824;464.5882353;11.64705882;17;67.23529412;0.764705882;6.941176471;8.470588235;18.47058824;29.82352941;10.52941176
Toulouse;TOU;Ligue 1;25.05263158;33.94736842;17.57894737;14;23.31578947;1.789473684;403.3157895;7.894736842;18.42105263;52.73684211;0.421052632;4.105263158;7.526315789;17.94736842;30.31578947;13.94736842
Trabzonspor;TRB;Super Lig;16.5;23.5;16.375;16.4375;14.0625;1.9375;448.8125;10.6875;24.25;59.6875;0.1875;6.1875;8.0625;14.125;24.25;13.5
Troyes;TRO;Ligue 1;19.94736842;31.73684211;17.26315789;11.78947368;18.73684211;3.526315789;419.7368421;9.105263158;20.26315789;72.47368421;0.210526316;5.842105263;6.105263158;14.10526316;29.78947368;11.15789474
Twente;TWE;Eredivisie;17.64705882;26;21.17647059;9;22.70588235;2.941176471;393.1176471;8.352941176;19.94117647;67.88235294;0.294117647;5.882352941;7.647058824;20.41176471;27.35294118;14.11764706
Udinese;UDI;Serie A;17;25.05882353;19.88235294;15.35294118;20.94117647;3.176470588;388.1764706;9;21.94117647;65.47058824;0.529411765;5.117647059;7.058823529;15.11764706;34.23529412;15
Ural S.R;USR;Russian PL;20.11111111;27.27777778;24.66666667;15.16666667;24.33333333;2.944444444;445.5555556;9.555555556;18.05555556;82.11111111;0.5;5.722222222;7.333333333;12.72222222;35.16666667;13.88888889
Utrecht;UTR;Eredivisie;16.82352941;22.88235294;20.41176471;12.35294118;17.47058824;3;428.2352941;9.470588235;19.58823529;67.88235294;0.882352941;4.470588235;7.294117647;14.64705882;33.82352941;11.82352941
Valencia;VAL;La Liga;24.75;33.5;20.1875;15.625;24.375;3.3125;395.1875;7.125;19.5625;64.4375;0.4375;4.5;5.8125;19.25;29.5625;17.75
Vancouver Whitecaps;VAN;MLS;18.85294118;27.61764706;21.70588235;14;20.08823529;2.794117647;381.3823529;8.558823529;17.70588235;63.02941176;0.411764706;5.411764706;7.529411765;13.94117647;29.52941176;12.02941176
Vasco da Gama;VDG;Brasileirao;16.13157895;23.55263158;13.65789474;14.36842105;15.89473684;3;399.5526316;7.473684211;20.97368421;58.68421053;0.315789474;5.921052632;5.710526316;12.05263158;30.84210526;15.97368421
Verona;VER;Serie A;18.35294118;26.58823529;14.58823529;15;21.94117647;3;376.2352941;7.058823529;25.41176471;67.76470588;0.117647059;4.176470588;5.764705882;13.88235294;28.52941176;14.23529412
VfB Stuttgart;STU;Bundesliga;17.35294118;29.94117647;20.82352941;15.17647059;20.58823529;1.764705882;381;10;17.23529412;64.35294118;0.352941176;5.588235294;9.529411765;18.94117647;53.23529412;13.41176471
Villarreal;VIL;La Liga;19.5;27.1875;21.125;15.4375;25.25;2.9375;373.375;6.125;16;59.375;0.5;3.3125;5.5;12.5;32.5625;12.1875
Vitesse;VIT;Eredivisie;18.70588235;27.76470588;15.41176471;13.70588235;21.52941176;2.764705882;497.5882353;10.82352941;17.35294118;79.94117647;0.823529412;7.058823529;8;20.82352941;28.11764706;11.64705882
Watford;WAT;Premier League;20.35294118;29.94117647;19.05882353;11.82352941;26.47058824;2.411764706;381;9.352941176;17.47058824;78.11764706;0.176470588;5.588235294;6.705882353;13.64705882;32.35294118;10.17647059
Werder Bremen;WBR;Bundesliga;19.88235294;30.52941176;24.52941176;16.47058824;20.47058824;3.294117647;350.1176471;7.470588235;11.76470588;75.82352941;0.117647059;5.411764706;7.117647059;18.58823529;60.47058824;14.70588235
West Bromwich Albion;WBA;Premier League;16.35294118;26.58823529;18.41176471;10.23529412;27.47058824;4.588235294;324.2941176;5.941176471;20;71.64705882;0.176470588;3.529411765;5.117647059;10.94117647;36.64705882;9.647058824
West Ham;WHU;Premier League;19.70588235;29.23529412;16.94117647;10;27.05882353;5;376.0588235;9.470588235;20.88235294;66.76470588;0.235294118;5.823529412;7.882352941;18.94117647;33.70588235;11.94117647
Willem II;WIL;Eredivisie;19.58823529;27.58823529;20.23529412;15.70588235;26.70588235;2.941176471;409;6.176470588;19.94117647;81.52941176;0.352941176;4.647058824;5.117647059;8.588235294;39.52941176;14.52941176
Wolfsburg;WOL;Bundesliga;17.76470588;26.05882353;17.58823529;13.64705882;14.17647059;2.176470588;558.8235294;10.82352941;19;77.05882353;0.176470588;6.411764706;8.470588235;21.29411765;37.82352941;13.76470588
Wolverhampton Wanderers;WOL;Championship;15.31818182;21.22727273;13.04545455;10.45454545;16.31818182;2.772727273;450.9545455;9.409090909;23.86363636;86.63636364;0.363636364;4.954545455;7.863636364;12.95454545;44.04545455;11.27272727
Zenit St. Petersburg;ZEN;Russian PL;16.11111111;22.5;18.94444444;15.16666667;16.72222222;2;503.1666667;11.11111111;21.44444444;60.72222222;0.944444444;6.611111111;9.333333333;17.83333333;27.55555556;15
